Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,26110,0,100,932.8606690693249,2.106500000003564,20146.2641,8688.0,195.25753562681902,0.0,100,190,350,630,1500,5500,11000,19000,19000,20000,20000
,Aggregated,26110,0,100,932.8606690693249,2.106500000003564,20146.2641,8688.0,195.25753562681902,0.0,100,190,350,630,1500,5500,11000,19000,19000,20000,20000
