Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1700990793,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700990794,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700990795,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700990796,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700990797,80,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700990798,120,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700990799,140,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700990800,160,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700990801,180,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700990802,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700990803,220,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,80,0,1800.0,3320.1812387500004,597.5014999999999,7799.426200000001,8688.0
1700990803,220,,Aggregated,0.000000,0.000000,3300,3700,7300,7400,7600,7800,7800,7800,7800,7800,7800,80,0,1800.0,3320.1812387500004,597.5014999999999,7799.426200000001,8688.0
1700990804,240,GET,/,0.000000,0.000000,720,3100,3400,3800,7300,7600,7600,7800,7800,7800,7800,220,0,720.0,2228.762607727271,17.742900000000006,7799.426200000001,8688.0
1700990804,240,,Aggregated,0.000000,0.000000,720,3100,3400,3800,7300,7600,7600,7800,7800,7800,7800,220,0,720.0,2228.762607727271,17.742900000000006,7799.426200000001,8688.0
1700990805,260,GET,/,0.100000,0.000000,220,720,3100,3400,7200,7300,7600,7800,7800,7800,7800,384,0,220.0,1696.8037013020828,3.687899999999189,7799.426200000001,8688.0
